Tipo de Arquivo,Nome,Título,Legenda,Local,Data,Tipo,Fotógrafo,Notas,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto,Link
Imagem,Aline_011,Equipe da Seleção Brasileira Feminina na Vila Olímpica,"Equipe da Seleção Brasileira posa para foto na Vila Olímpica. Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1755 x 1079,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726746,Equipe%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20Feminina%20na%20Vila%20Ol%C3%ADmpica"
Imagem,Aline_012,Aline Pellegrino posa para foto com a bandeira do Brasil        ,"Jogadora da Seleção Brasileira de Futebol, Aline Pellegrino posa para foto com a bandeira do Brasil.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1212 x 1740,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726760,Aline%20Pellegrino%20posa%20para%20foto%20com%20a%20bandeira%20do%20Brasil"
Imagem,Aline_013,"Aline Pellegrino com a medalha de prata dos Jogos Olímpicos de Atenas, 2004","Aline Pellegrino, jogadora da Seleção Brasileira de Futebol Feminino, posa para foto com a medalha de prata dos Jogos Olímpicos de Atenas.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1792 x 1192,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726774,Aline%20Pellegrino%20com%20a%20medalha%20de%20prata%20dos%20Jogos%20Ol%C3%ADmpicos%20de%20Atenas,%202004"
Imagem,Aline_014,Aline Pellegrino posa para foto em Atenas,"A jogadora Aline Pellegrino posa para foto durante passeio pela cidade de Atenas, Grécia.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1200,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726788,Aline%20Pellegrino%20posa%20para%20foto%20em%20Atenas"
Imagem,Aline_015,"Aline Pellegrino, Daniela Alves e o técnico Renê Simões em Atenas",As jogadoras Aline Pellegrino e Daniela Alves posam para foto com o técnico Renê Simões.,"Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1196,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726802,Aline%20Pellegrino,%20Daniela%20Alves%20e%20o%20t%C3%A9cnico%20Ren%C3%AA%20Sim%C3%B5es%20em%20Atenas"
Imagem,Aline_016,"Jogadoras posam para foto com a medalha de prata dos Jogos de Atenas, 2004","No ônibus da Seleção Brasileira, jogadoras posam para foto com a medalha de prata das Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1182,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726818,Jogadoras%20posam%20para%20foto%20com%20a%20medalha%20de%20prata%20dos%20Jogos%20de%20Atenas,%202004"
Imagem,Aline_017,Jogadoras posam para foto na festa de encerramento dos Jogos Olímpicos,"Jogadoras da Seleção Brasileira de Futebol Feminino posam para foto durante evento de encerramento dos Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Aline Pellegrino.,Acervo Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1209 x 1780,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726832,Jogadoras%20posam%20para%20foto%20na%20festa%20de%20encerramento%20dos%20Jogos%20Ol%C3%ADmpicos"
Imagem,Daniela_001,Jogadoras da Seleção Brasileira durante apresentação de Jorge Aragão,Jogadoras da Seleção Brasileira cantam durante apresentação de Jorge Aragão.,0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3563 x 2362,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/706917,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20durante%20apresenta%C3%A7%C3%A3o%20de%20Jorge%20Arag%C3%A3o"
Imagem,Daniela_002,Equipe de futsal feminino Salgueiro posa para foto,Equipe de futsal feminino Salgueiro posa para foto.,0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3441 x 2402,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726855,Equipe%20de%20futsal%20feminino%20Salgueiro%20posa%20para%20foto"
Imagem,Daniela_003,Jogadoras da Portuguesa posam para foto,"Dani Alves e Maicon, jogadoras da Associação Portuguesa de Desportos, posam para foto.","São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3498 x 2367,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726868,Jogadoras%20da%20Portuguesa%20posam%20pata%20foto"
Imagem,Daniela_004,Daniela Alves posa para foto,Daniela Alves posa para foto com uniforme do Acadêmico Cidade Dutra. ,"São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3544,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726882,Daniela%20Alves%20posa%20para%20foto"
Imagem,Daniela_005,Daniela Alves na volta para casa depois da conquista da medalha de prata,"Jogadora de futebol Daniela Alves recebe homenagem ao voltar para o Brasil após a conquista da medalha de prata nas Olimpíadas de Atenas, 2004.","São Paulo, SP",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3555,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726895,Daniela%20Alves%20na%20volta%20para%20casa%20depois%20da%20conquista%20da%20medalha%20de%20prata"
Imagem,Daniela_006,Seleção Brasileira de Futebol Feminino Sub-19 posa para foto,Seleção Brasileira de Futebol Feminino Sub-19 posa para foto durante visita ao Cristo Redentor.,"Rio de Janeiro, RJ",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3316 x 2185,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726909,Sele%C3%A7%C3%A3o%20Brasileira%20de%20Futebol%20Feminino%20Sub-19%20posa%20para%20foto"
Imagem,Daniela_007,Jogadoras da Seleção Brasileira Sub-19 posam para foto,Jogadoras da Seleção Brasileira posam para foto.,"Teresópolis, RJ",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3316 x 2185,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726921,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20Sub-19%20posam%20para%20foto"
Imagem,Daniela_008,Jogadoras da Seleção Brasileira concedem entrevista,"Jogadoras da Seleção Brasileira Feminina são entrevistadas na chegada ao Brasil após a conquista da prata nas Olimpíadas de Atenas, 2004.","São Paulo, SP",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1774 x 1182,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726934,Jogadoras%20da%20Sele%C3%A7%C3%A3o%20Brasileira%20concedem%20entrevista"
Imagem,Daniela_009,Jogadoras do São Paulo posam para foto,Jogadoras do São Paulo Futebol Clube posam para foto,"São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3487 x 2356,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726948,Jogadoras%20do%20S%C3%A3o%20Paulo%20posam%20para%20foto"
