Tipo de Arquivo,Nome,Título,Local,Data,Tipo,Fotógrafo,Descrição,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto
Imagem,digitalizar0001,"Aline Pellegrino no começo de sua carreira como atleta, com o uniforme do Corinthians.","São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1160 x 1760,0
Imagem,digitalizar0004,"Em um vestiário, jogadoras da Seleção Brasileira Feminina de Futebol posam para fotografia.",0,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1792 x 1168,0
Imagem,digitalizar0006x,"Aline Pellegrino posa para fotografia durante as Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1769 x 1148,0
Imagem,digitalizar0009,Jogadoras da Seleção Brasileira Feminina posam para fotografia.,0,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1207 x 1794,0
Imagem,digitalizar0012,Jogadoras da Seleção Brasileira Feminina posam para fotografia.,0,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1777 x 1185,0
Imagem,digitalizar0014,"Durante passeio pela cidade de Atenas, na Grécia, a jogadora Aline Pellegrino posa para fotografia.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1777 x 1184,0
Imagem,digitalizar0020,"Jogadoras da Seleção Brasileira Feminina posam para fotografia durante as Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1769 x 1170,0
Imagem,digitalizar0022,"Equipe da Seleção Brasileira posa para foto na Vila Olímpica. Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1755 x 1079,0
Imagem,Futebol Feminino0003,"Jogadora da Seleção Brasileira de Futebol, Aline Pellegrino posa para foto com a bandeira do Brasil.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1212 x 1740,0
Imagem,Futebol Feminino0004,"Aline Pellegrino, jogadora da Seleção Brasileira de Futebol Feminino, posa para fotografia com medalha de prata dos Jogos Olímpicos de Atenas.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1792 x 1192,0
Imagem,Futebol Feminino0005,"Durante passeio pela cidade de Atenas, na Grécia, a jogadora Aline Pellegrino posa para fotografia.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1200,0
Imagem,Futebol Feminino0006,"Aline Pellegrino, Daniela Alves e o técnico Renê Simões em Atenas","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1196,0
Imagem,Futebol Feminino0008,"No ônibus da Seleção Brasileira, jogadoras posam para foto com a medalha de prata das Olimpíadas de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1788 x 1182,0
Imagem,Futebol Feminino0010,"Jogadoras da Seleção Brasileira de futebol posam para foto durante evento de encerramento dos Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Aline Pellegrino.,Acervo Museu do Futebol | Coleção Aline Pellegrino | Direitos Reservados,Museu do Futebol,CC-BY-SA,JPEG,300 dpi,300 dpi,1209 x 1780,0
Imagem,Dani018,Jogadoras da Seleção Brasileira cantam durante apresentação de Jorge Aragão.,0,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3563 x 2362,0
Imagem,Dani025,Equipe de futsal feminino Salgueiro posa para fotografia.,Brasil,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3441 x 2402,0
Imagem,Dani026,"Dani Alves e Maicon, jogadoras da Associação Portuguesa de Desportos, posam para fotografia.","São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3498 x 2367,0
Imagem,Dani027a,Daniela Alves posa para fotografia com uniforme do Acadêmico Cidade Dutra.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3544,0
Imagem,Dani045,"Jogadora de futebol Daniela Alves recebe homenagem ao voltar para o Brasil após a conquista da medalha de prata nas Olimpíadas de Atenas, 2004.","São Paulo, SP",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3555,0
Imagem,Dani049,Seleção Brasileira de Futebol Feminino Sub-19 posa para foto durante visita ao Cristo Redentor.,"Rio de Janeiro, RJ",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3316 x 2185,0
Imagem,Dani052,Jogadoras da Seleção Brasileira posam para foto.,"Tersópolis, RJ",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3316 x 2185,0
Imagem,Dani083,"Jogadoras da Seleção Brasileira Feminina são entrevistadas na chegada ao Brasil após a conquista da prata nas Olimpíadas de Atenas, 2004.","São Paulo, SP",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1774 x 1182,0
Imagem,Dani085,Jogadoras do São Paulo Futebol Clube posam para foto,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3487 x 2356,0
Imagem,Dani099,Seleção Brasileira Sub-19 e comissão técnica posam para foto antes de jogo.,Canadá,2002,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3407 x 2367,0
Imagem,Dani113,"Seleção Brasileira de Futebol Femino posa para foto com uma placa da Copa Sub-19, disputada no Canadá.",Canadá,2002,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3407 x 2390,0
